まず選択が押しづらい。ワードをタップしたら選択が反応しろ。  生成されたワードが不良品であるものが多い。 ・文字数優先で言葉が途中で途切れてしまっている。
・一般的ではない言葉を使用している。 ・レベルが高いのに、「男前」だの相手が褒めるワードが入ってしまっている。 ・もっと相手を挑発するようなワードがほしい。相手を怒らせたい。または相手を落ち込ませたい。  ・ターゲットの情報が少ないため、ワードが似たようなものになってしまっている。 ターゲットの情報をこちらの情報をベースにさらに追加し、コード内にあらかじめ内封せよ。 
名前,見た目,経歴,性格,周りからの評価
大野将平,孤高,柔道,ストイック,「怖すぎる」。
ベイカー茉秋,ハーフ,柔道,不遇,「一発屋」。
松本薫,野獣,柔道,野生,「キャラ作り」。
篠原信一,巨顔,柔道,タレント,「柔道を捨てた」。
吉田沙保里,最強,格闘家,女子力,「勘違い」。
伊調馨,孤高,格闘家,信念,「暗い」。
川井梨紗子,姉妹,格闘家,努力,「性格がキツそう」。
登坂絵莉,小柄,格闘家,笑顔,「過去の人」。
土性沙羅,筋肉,格闘家,パワー,「引退後の迷走」。
浜口京子,気合だ,格闘家,天然,「お父さんがうるさい」。
アニマル浜口,気合,格闘家,叫び,「ただうるさいだけ」。
武豊,天才,騎手,冷静,「女性関係が派手」。
ルメール,ハーフ,騎手,最強,「強すぎてつまらない」。
川田将雅,強面,騎手,厳しい,「態度が悪い」。
藤田菜七子,可愛い,騎手,アイドル,「実力が伴っていない」。
今村聖奈,生意気,騎手,若手,「不祥事」。
横山武史,若手,騎手,情熱,「ミスが多い」。
福永祐一,二世,騎手,理屈,「親の七光り」。
藤沢和雄,伯楽,調教師,名将,「頑固」。
矢作芳人,派手,調教師,ビジネス,「目立ちたがり」。
国枝栄,アーモンドアイ,調教師,笑顔,「運が良いだけ」。
杉山晴紀,若手,調教師,最強,「面白みがない」。
池江泰寿,二世,調教師,名将,「性格が悪そう」。
角居勝彦,信念,調教師,引退,「宗教的」。
武幸四郎,二世,調教師,お酒,「チャラい」。
